iter	Passed	Remaining
631	9450	5502
632	9465	5487
633	9479	5472
634	9493	5456
635	9508	5441
636	9522	5426
637	9538	5411
638	9554	5397
639	9571	5383
640	9588	5369
641	9604	5355
642	9619	5340
643	9635	5326
644	9650	5311
645	9666	5297
646	9681	5281
647	9695	5266
648	9710	5251
649	9725	5236
650	9741	5222
651	9756	5207
652	9770	5191
653	9785	5176
654	9801	5162
655	9816	5147
656	9830	5132
657	9844	5116
658	9858	5101
659	9872	5085
660	9886	5070
661	9900	5054
662	9913	5039
663	9927	5023
664	9941	5008
665	9955	4992
666	9969	4977
667	9982	4961
668	9996	4946
669	10010	4930
670	10042	4923
671	10057	4908
672	10071	4893
673	10086	4878
674	10100	4863
675	10114	4847
676	10128	4832
677	10142	4816
678	10157	4801
679	10171	4786
680	10186	4771
681	10200	4756
682	10214	4741
683	10229	4725
684	10245	4711
685	10259	4696
686	10273	4680
687	10287	4665
688	10303	4650
689	10318	4635
690	10333	4620
691	10349	4606
692	10363	4591
693	10378	4576
694	10392	4560
695	10407	4545
696	10423	4531
697	10437	4516
698	10452	4501
699	10467	4485
700	10481	4470
701	10495	4455
702	10509	4440
703	10523	4424
704	10536	4409
705	10552	4394
706	10567	4379
707	10580	4363
708	10594	4348
709	10608	4333
710	10623	4317
711	10636	4302
712	10651	4287
713	10667	4272
714	10681	4257
715	10695	4242
716	10709	4226
717	10723	4211
718	10737	4196
719	10753	4181
720	10768	4166
721	10782	4151
722	10797	4136
723	10811	4121
724	10828	4107
725	10843	4092
726	10859	4077
727	10874	4063
728	10888	4047
729	10902	4032
730	10916	4017
731	10930	4001
732	10945	3986
733	10960	3971
734	10974	3956
735	10988	3941
736	11002	3926
737	11016	3910
738	11030	3895
739	11044	3880
740	11059	3865
741	11073	3850
742	11088	3835
743	11102	3820
744	11115	3804
745	11129	3789
746	11143	3774
747	11157	3759
748	11171	3743
749	11185	3728
750	11198	3712
751	11212	3697
752	11227	3682
753	11241	3667
754	11255	3652
755	11269	3637
756	11283	3621
757	11297	3606
758	11312	3591
759	11326	3576
760	11340	3561
761	11354	3546
762	11368	3531
763	11382	3515
764	11395	3500
765	11409	3485
766	11423	3470
767	11437	3455
768	11451	3439
769	11465	3424
770	11480	3409
771	11495	3395
772	11509	3379
773	11523	3364
774	11537	3349
775	11550	3334
776	11564	3319
777	11578	3303
778	11592	3288
779	11606	3273
780	11620	3258
781	11635	3243
782	11648	3228
783	11662	3213
784	11677	3198
785	11691	3183
786	11704	3167
787	11738	3158
788	11751	3142
789	11766	3127
790	11780	3112
791	11795	3097
792	11808	3082
793	11822	3067
794	11837	3052
795	11850	3037
796	11864	3022
797	11878	3006
798	11892	2991
799	11906	2976
800	11920	2961
801	11935	2946
802	11950	2931
803	11964	2916
804	11977	2901
805	11991	2886
806	12005	2871
807	12019	2856
808	12035	2841
809	12049	2826
810	12063	2811
811	12078	2796
812	12093	2781
813	12108	2766
814	12123	2751
815	12138	2737
816	12153	2722
817	12168	2707
818	12182	2692
819	12197	2677
820	12211	2662
821	12225	2647
822	12239	2632
823	12253	2617
824	12267	2602
825	12281	2587
826	12295	2572
827	12310	2557
828	12324	2542
829	12338	2527
830	12353	2512
831	12368	2497
832	12383	2482
833	12398	2467
834	12411	2452
835	12425	2437
836	12441	2422
837	12455	2407
838	12470	2393
839	12484	2378
840	12499	2363
841	12513	2348
842	12527	2333
843	12542	2318
844	12558	2303
845	12574	2289
846	12589	2274
847	12604	2259
848	12618	2244
849	12632	2229
850	12646	2214
851	12661	2199
852	12675	2184
853	12689	2169
854	12703	2154
855	12718	2139
856	12732	2124
857	12746	2109
858	12761	2094
859	12775	2079
860	12790	2064
861	12806	2050
862	12821	2035
863	12835	2020
864	12849	2005
865	12863	1990
866	12877	1975
867	12892	1960
868	12906	1945
869	12921	1930
870	12935	1915
871	12949	1900
872	12963	1885
873	12977	1870
874	12992	1856
875	13007	1841
876	13021	1826
877	13035	1811
878	13049	1796
879	13063	1781
880	13077	1766
881	13091	1751
882	13106	1736
883	13121	1721
884	13136	1706
885	13151	1692
886	13166	1677
887	13182	1662
888	13199	1648
889	13217	1633
890	13233	1618
891	13248	1604
892	13261	1589
893	13275	1574
894	13289	1559
895	13305	1544
896	13320	1529
897	13334	1514
898	13349	1499
899	13365	1485
900	13381	1470
901	13397	1455
902	13414	1441
903	13430	1426
904	13446	1411
905	13461	1396
906	13476	1381
907	13490	1366
908	13506	1352
909	13520	1337
910	13534	1322
911	13549	1307
912	13563	1292
913	13578	1277
914	13593	1262
915	13608	1247
916	13624	1233
917	13640	1218
918	13656	1203
919	13670	1188
920	13686	1173
921	13701	1159
922	13717	1144
923	13734	1129
924	13750	1114
925	13765	1100
926	13782	1085
927	13799	1070
928	13815	1055
929	13832	1041
930	13867	1027
931	13883	1012
932	13899	998
933	13914	983
934	13929	968
935	13944	953
936	13960	938
937	13975	923
938	13990	908
939	14004	893
940	14020	879
941	14034	864
942	14051	849
943	14069	834
944	14085	819
945	14101	804
946	14116	790
947	14135	775
948	14155	760
949	14170	745
950	14188	731
951	14203	716
952	14222	701
953	14243	686
954	14260	671
955	14276	657
956	14294	642
957	14309	627
958	14324	612
959	14339	597
960	14355	582
961	14372	567
962	14387	552
963	14401	537
964	14416	522
965	14431	507
966	14446	492
967	14461	478
968	14478	463
969	14494	448
970	14509	433
971	14525	418
972	14540	403
973	14555	388
974	14570	373
975	14585	358
976	14599	343
977	14614	328
978	14630	313
979	14645	298
980	14661	283
981	14677	269
982	14693	254
983	14709	239
984	14723	224
985	14738	209
986	14753	194
987	14767	179
988	14782	164
989	14796	149
990	14811	134
991	14826	119
992	14841	104
993	14855	89
994	14869	74
995	14884	59
996	14901	44
997	14916	29
998	14931	14
999	14945	0
